Block,Row,Group,Plant,Treatment,May-2,May-8,May-15,May-23,May-30,Jun-6,Jun-11,Jun-20,Jun-27,Jul-5,Jul-11,Jul-18,Jul-25,Aug-5
1,5,1,1,6. Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,5,1,2,1. Control,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1,5,1,3,2. Rosette Damage,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,5,1,4,5. Rosette Damage/Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,5,3,1,1. Control,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2,5,3,2,4. Rosette Damage/Late Mow,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2,5,3,3,7. Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2,5,3,4,3. Rosette Damage/Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3,5,5,1,1. Control,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3,5,5,2,7. Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3,5,5,3,2. Rosette Damage,1,1,1,1,1,1,1,1,1,1,1,1,0,0
3,5,5,4,8. Late Mow,1,1,1,1,1,1,1,1,1,1,1,0,0,0
4,5,7,1,3. Rosette Damage/Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
4,5,7,2,4. Rosette Damage/Late Mow,1,1,1,1,1,1,1,0,0,0,0,0,0,0
4,5,7,3,2. Rosette Damage,1,1,1,1,1,1,1,1,1,1,1,0,0,0
4,5,7,4,8. Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,6,2,1,7. Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,0,0,0
1,6,2,2,4. Rosette Damage/Late Mow,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1,6,2,3,3. Rosette Damage/Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,6,2,4,8. Late Mow,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2,6,4,1,5. Rosette Damage/Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,6,4,2,2. Rosette Damage,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,6,4,3,6. Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,6,4,4,8. Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,0,0
3,6,6,1,6. Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3,6,6,2,4. Rosette Damage/Late Mow,1,1,1,1,1,1,0,0,0,0,0,0,0,0
3,6,6,3,5. Rosette Damage/Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3,6,6,4,3. Rosette Damage/Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
4,6,8,1,7. Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
4,6,8,2,1. Control,1,1,1,1,1,1,1,1,1,1,1,1,1,0
4,6,8,3,6. Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,0,0
4,6,8,4,5. Rosette Damage/Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,7,1,1,2. Rosette Damage,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,7,1,2,1. Control,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,7,1,3,7. Early Mow/Late Mow,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1,7,1,4,8. Late Mow,1,1,1,1,1,1,1,1,1,0,0,0,0,0
2,7,3,1,7. Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2,7,3,2,6. Early Mow,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2,7,3,3,2. Rosette Damage,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,7,3,4,3. Rosette Damage/Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,0,0
3,7,5,1,4. Rosette Damage/Late Mow,1,1,1,1,1,1,1,1,1,1,1,0,0,0
3,7,5,2,1. Control,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3,7,5,3,5. Rosette Damage/Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3,7,5,4,3. Rosette Damage/Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
4,7,7,1,6. Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
4,7,7,2,4. Rosette Damage/Late Mow,1,1,1,1,1,1,1,0,0,0,0,0,0,0
4,7,7,3,2. Rosette Damage,1,1,1,1,1,1,1,1,1,1,1,1,1,0
4,7,7,4,5. Rosette Damage/Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,8,2,1,3. Rosette Damage/Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,8,2,2,6. Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,8,2,3,4. Rosette Damage/Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1,8,2,4,5. Rosette Damage/Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2,8,4,1,5. Rosette Damage/Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2,8,4,2,8. Late Mow,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2,8,4,3,4. Rosette Damage/Late Mow,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2,8,4,4,1. Control,1,1,1,1,1,1,1,1,1,1,1,1,0,0
3,8,6,1,8. Late Mow,1,1,1,1,1,1,1,1,1,1,1,0,0,0
3,8,6,2,2. Rosette Damage,1,1,1,1,1,1,1,1,1,1,1,1,0,0
3,8,6,3,6. Early Mow,1,1,1,1,1,1,0,0,0,0,0,0,0,0
3,8,6,4,7. Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,0,0,0
4,8,8,1,3. Rosette Damage/Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,0,0
4,8,8,4,8. Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,9,1,1,8. Late Mow,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1,9,1,2,4. Rosette Damage/Late Mow,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1,9,1,3,1. Control,1,1,1,1,1,1,1,1,1,1,1,0,0,0
1,9,1,4,7. Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2,9,3,1,3. Rosette Damage/Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2,9,3,2,1. Control,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2,9,3,3,7. Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,9,3,4,6. Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3,9,5,1,5. Rosette Damage/Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,0,0,0
3,9,5,2,1. Control,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3,9,5,3,4. Rosette Damage/Late Mow,1,1,1,1,1,1,1,1,1,1,1,0,0,0
3,9,5,4,7. Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
4,9,7,1,5. Rosette Damage/Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
4,9,7,2,3. Rosette Damage/Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
4,9,7,3,1. Control,1,1,1,1,1,1,1,1,1,1,1,0,0,0
4,9,7,4,8. Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,10,2,1,3. Rosette Damage/Early Mow,1,1,1,1,1,1,1,1,1,1,1,0,0,0
1,10,2,2,6. Early Mow,1,1,1,1,1,1,1,1,1,1,1,0,0,0
1,10,2,3,2. Rosette Damage,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1,10,2,4,5. Rosette Damage/Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2,10,4,1,2. Rosette Damage,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2,10,4,2,4. Rosette Damage/Late Mow,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2,10,4,3,8. Late Mow,1,1,1,1,1,1,0,0,0,0,0,0,0,0
2,10,4,4,5. Rosette Damage/Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,0,0
3,10,6,1,8. Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3,10,6,2,3. Rosette Damage/Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3,10,6,3,6. Early Mow,1,1,1,1,1,1,1,1,1,1,1,0,0,0
3,10,6,4,2. Rosette Damage,1,1,1,1,1,1,1,1,1,1,1,1,0,0
4,10,8,1,6. Early Mow,1,1,1,1,1,1,1,1,1,1,1,1,1,0
4,10,8,2,2. Rosette Damage,1,1,1,1,1,1,1,1,1,1,1,1,0,0
4,10,8,3,7. Early Mow/Late Mow,1,1,1,1,1,1,1,1,1,1,1,1,0,0
4,10,8,4,4. Rosette Damage/Late Mow,1,1,1,1,1,1,0,0,0,0,0,0,0,0
